Council	Year	Category	Breed	total	female	male	desexed	chipped	menacing	dangerous	probationary	disqualified	registered	infringements	prosecutions	destruction	injuries	paid_any_yr	paid_this_yr
Ashburton District	2014	DOG	Terrier, Jack Russell	259	121	138	106	144	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Terrier, Staffordshire Bull	104	53	51	46	70	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	Terrier, West Highland White	19	9	10	8	11	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	DOG	_Unidentified_	654	295	359	255	388	8	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	OWN	_	0	0	0	0	0	0	0	0	13	3443	49	0	0	0	0	0
Ashburton District	2014	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2014	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	65	11232	18291
Ashburton District	2015	DOG	_ALL-PURE_	4672	2258	2414	1528	2279	17	3	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	_ALL-CROSS_	1852	947	905	951	1239	19	1	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	_ALL-DOGS_	6524	3205	3319	2479	3518	36	4	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Beagle	43	19	24	19	34	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Bichon Frise	133	70	63	70	98	0	1	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Boxer	53	26	27	26	41	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Cattle, Australian	28	14	14	11	14	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Chihuahua, Long Coat	24	9	15	7	16	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Chihuahua, Smooth Coat	29	19	10	11	24	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Collie, Bearded	51	28	23	11	5	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Collie, Border	733	361	372	116	117	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Collie, Rough	17	7	10	4	9	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Collie, Smooth	22	12	10	0	3	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Greyhound	153	64	89	7	136	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Heading	215	122	93	19	12	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Huntaway	466	194	272	52	40	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Maltese	43	26	17	17	30	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Poodle, Miniature	14	6	8	5	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Poodle, Toy	25	16	9	13	17	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Retriever, Golden	102	46	56	49	70	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Retriever, Labrador	600	303	297	243	378	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Rottweiler	81	33	48	31	62	2	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Schnauzer, Miniature	71	40	31	37	53	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Shepherd, German	100	46	54	36	75	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Shih Tzu	32	14	18	19	24	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Spaniel, Cavalier King Charles	22	7	15	9	15	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Spaniel, Cocker	87	47	40	40	59	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Spaniel, English Springer	54	24	30	23	35	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Terrier, American Pit Bull	7	2	5	5	6	6	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Terrier, Fox (Smooth)	167	82	85	76	82	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Terrier, Jack Russell	354	172	182	176	207	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Terrier, Staffordshire Bull	105	57	48	46	72	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	Terrier, West Highland White	33	14	19	16	19	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	DOG	_Unidentified_	808	378	430	334	518	7	2	0	0	0	0	0	0	0	0	0
Ashburton District	2015	OWN	_	0	0	0	0	0	0	0	0	10	4335	39	0	0	0	0	0
Ashburton District	2015	JST	_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2015	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	78	7699	26507
Ashburton District	2016	DOG	_ALL-PURE_	4631	2233	2398	1542	2439	15	3	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	_ALL-CROSS_	1838	928	910	993	1295	30	7	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	_ALL-DOGS_	6469	3161	3308	2535	3734	45	10	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Beagle	38	18	20	18	31	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Bichon Frise	142	73	69	76	111	0	1	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Boxer	54	29	25	31	42	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Cattle, Australian	26	11	15	10	15	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Chihuahua, Long Coat	20	7	13	4	15	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Chihuahua, Smooth Coat	27	18	9	13	22	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Collie, Bearded	48	23	25	9	6	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Collie, Border	667	334	333	114	122	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Collie, Rough	23	11	12	5	16	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Collie, Smooth	22	11	11	2	1	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Greyhound	147	68	79	10	120	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Heading	229	125	104	21	14	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Huntaway	489	207	282	57	50	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Maltese	45	27	18	22	35	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Poodle, Miniature	12	5	7	5	8	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Poodle, Toy	22	12	10	15	18	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Retriever, Golden	102	49	53	47	74	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Retriever, Labrador	591	290	301	248	404	1	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Rottweiler	85	34	51	35	71	3	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Schnauzer, Miniature	70	37	33	39	54	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Shepherd, German	98	49	49	40	80	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Shih Tzu	44	18	26	23	33	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Spaniel, Cavalier King Charles	19	4	15	9	14	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Spaniel, Cocker	91	48	43	35	65	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Spaniel, English Springer	55	23	32	22	35	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Terrier, American Pit Bull	9	5	4	6	8	8	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Terrier, Fox (Smooth)	158	78	80	70	89	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Terrier, Jack Russell	351	172	179	177	221	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Terrier, Staffordshire Bull	106	58	48	50	79	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	Terrier, West Highland White	28	11	17	16	16	0	0	0	0	0	0	0	0	0	0	0
Ashburton District	2016	DOG	_Unidentified_	813	378	435	313	570	3	2	0	0	0	0	0	0	0	0	0
Ashburton District	2016	OWN	_	0	0	0	0	0	0	0	1	3	4313	21	0	0	0	0	0
Auckland (Group)	2001	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	768	0	332227
Auckland (Group)	2002	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	216946
Auckland (Group)	2003	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	726	0	340021
Auckland (Group)	2004	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	2586	0	379727
Auckland (Group)	2005	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	2774	0	550087
Auckland (Group)	2006	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	2981	620798	650719
Auckland (Group)	2007	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3153	691842	797191
Auckland (Group)	2008	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3006	852626	1202140
Auckland (Group)	2009	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3057	990003	944030
Auckland (Group)	2010	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3109	945844	757015
Auckland (Group)	2011	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3200	846198	1013274
Auckland (Group)	2012	JST	_	0	0	0	0	0	0	0	0	0	0	0	338	27	0	0	0
Auckland (Group)	2012	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3344	1057372	859595
Auckland (Group)	2013	DOG	_ALL-PURE_	63662	30655	33007	45503	37751	959	33	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	_ALL-CROSS_	37786	18876	18910	29261	24711	1229	28	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	_ALL-DOGS_	101448	49531	51917	74764	62462	2188	61	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Beagle	743	368	375	616	502	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Bichon Frise	1778	840	938	1359	1105	0	1	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Boxer	1349	631	718	1039	843	11	2	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Cattle, Australian	724	394	330	527	363	3	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Chihuahua, Long Coat	628	298	330	396	379	1	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Chihuahua, Smooth Coat	1136	523	613	720	716	1	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Collie, Bearded	171	73	98	127	83	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Collie, Border	3313	1720	1593	2448	1764	19	5	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Collie, Rough	173	81	92	108	85	1	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Collie, Smooth	53	22	31	28	18	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Greyhound	371	178	193	225	228	2	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Heading	346	183	163	54	38	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Huntaway	1232	586	646	573	351	3	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Maltese	932	412	520	620	648	1	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Poodle, Miniature	856	358	498	711	473	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Poodle, Toy	1023	487	536	705	686	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Retriever, Golden	2608	1248	1360	1986	1507	2	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Retriever, Labrador	7912	3907	4005	5876	4685	9	2	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Rottweiler	1395	665	730	754	901	15	3	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Schnauzer, Miniature	1635	766	869	1241	1265	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Shepherd, German	3159	1559	1600	1932	1904	33	4	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Shih Tzu	1407	618	789	1002	1055	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Spaniel, Cavalier King Charles	514	226	288	405	355	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Spaniel, Cocker	1285	593	692	1011	733	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Spaniel, English Springer	356	172	184	282	217	2	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Terrier, American Pit Bull	800	323	477	527	613	686	7	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Terrier, Fox (Smooth)	2514	1254	1260	2048	1117	5	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Terrier, Jack Russell	3437	1687	1750	2793	1691	8	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Terrier, Staffordshire Bull	1668	886	782	1131	1039	16	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	Terrier, West Highland White	890	423	467	721	566	4	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	DOG	_Unidentified_	19254	9174	10080	13538	11821	137	9	0	0	0	0	0	0	0	0	0
Auckland (Group)	2013	OWN	_	0	0	0	0	0	0	0	64	15	90054	3359	0	0	0	0	0
Auckland (Group)	2013	JST	_	0	0	0	0	0	0	0	0	0	0	0	371	24	0	0	0
Auckland (Group)	2013	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3750	1063296	1145834
Auckland (Group)	2014	DOG	_ALL-PURE_	62510	30109	32401	45910	40042	914	31	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	_ALL-CROSS_	38957	19474	19483	31041	27305	1166	25	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	_ALL-DOGS_	101467	49583	51884	76951	67347	2080	56	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Beagle	750	376	374	625	531	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Bichon Frise	1717	800	917	1358	1124	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Boxer	1275	600	675	1022	863	9	2	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Cattle, Australian	672	374	298	500	357	4	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Chihuahua, Long Coat	615	296	319	433	402	1	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Chihuahua, Smooth Coat	1116	520	596	739	737	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Collie, Bearded	173	66	107	129	87	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Collie, Border	3259	1705	1554	2438	1878	15	3	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Collie, Rough	169	77	92	107	103	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Collie, Smooth	51	20	31	28	22	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Greyhound	389	189	200	259	277	2	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Heading	324	178	146	59	40	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Huntaway	1214	581	633	583	381	3	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Maltese	988	438	550	714	723	2	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Poodle, Miniature	850	367	483	712	517	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Poodle, Toy	1081	516	565	785	760	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Retriever, Golden	2495	1205	1290	1955	1575	1	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Retriever, Labrador	7667	3768	3899	5843	4978	10	2	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Rottweiler	1336	633	703	751	904	14	3	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Schnauzer, Miniature	1826	848	978	1454	1465	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Shepherd, German	3058	1512	1546	1895	2020	33	4	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Shih Tzu	1461	642	819	1091	1120	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Spaniel, Cavalier King Charles	518	232	286	412	373	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Spaniel, Cocker	1242	574	668	968	772	0	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Spaniel, English Springer	351	173	178	278	221	2	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Terrier, American Pit Bull	804	346	458	526	625	679	9	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Terrier, Fox (Smooth)	2361	1179	1182	1952	1181	4	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Terrier, Jack Russell	3281	1610	1671	2736	1767	6	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Terrier, Staffordshire Bull	1671	882	789	1159	1128	17	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	Terrier, West Highland White	898	420	478	737	592	3	0	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	DOG	_Unidentified_	18898	8982	9916	13662	12519	109	8	0	0	0	0	0	0	0	0	0
Auckland (Group)	2014	OWN	_	0	0	0	0	0	0	0	36	11	92209	3710	0	0	0	0	0
Auckland (Group)	2014	JST	_	0	0	0	0	0	0	0	0	0	0	0	398	57	0	0	0
Auckland (Group)	2014	ACC	_	0	0	0	0	0	0	0	0	0	0	0	0	0	3892	1130681	1177839
